"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","GBM_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg07434284",-0.669714632569883,0.448329949960559,-69.4592003981438,3.51129787610337e-237,3.10006441045364e-235,533.143352446348,0.733115144184201,NA,NA,"4",779691,"R","II","CPLX1","3'UTR","island","3'UTR-island","chr4:778661-780592",NA,NA,"","","","DOWN"
"cg08409074",-0.559940483123298,0.356081805711771,-69.1580734652566,4.11706897014889e-237,3.58270772673165e-235,532.979710169957,0.59568424500174,0.0357437618784416,-0.559940483123299,"2",201983242,"F","II","CFLAR","5'UTR","island","5'UTR-island","chr2:201983198-201983709",NA,TRUE,"","","","DOWN"
"cg03143164",-0.68427239439328,0.525241505872518,-69.0482588322006,7.76810288556834e-237,6.69017850577711e-235,532.344867156042,0.818046437426852,0.133774043033571,-0.684272394393281,"7",155283886,"R","I","","IGR","shore","IGR-shore","chr7:155284018-155284356",TRUE,TRUE,"","","","DOWN"
"cg04134240",-0.642659260045717,0.393237200583564,-69.0305768013324,8.60490014713628e-237,7.33523834991596e-235,532.2425676565,0.668235581626382,0.0255763215806654,-0.642659260045717,"14",100680625,"F","I","","IGR","island","IGR-island","chr14:100680269-100680947",NA,TRUE,"","","","DOWN"
"cg24545961",-0.764363931115742,0.534235090272239,-69.1114621751668,1.18053782573526e-236,9.96183130928524e-235,531.92863404326,0.860292431517416,NA,NA,"13",96205960,"R","I","CLDN10","Body","shore","Body-shore","chr13:96204691-96205496",NA,NA,"","","rs78314626","DOWN"
"cg09871079",-0.677079137136811,0.442438344983206,-68.9612810611785,1.2851725758591e-236,1.07363316987269e-234,531.841445393124,0.732165231571981,0.0550860944351697,-0.677079137136812,"1",33359180,"F","II","HPCA","Body","island","Body-island","chr1:33358469-33359449",TRUE,TRUE,"","","","DOWN"
"cg02408775",-0.682340448844904,0.44803413547109,-68.9428036187411,1.43034230967947e-236,1.18307719357052e-234,531.7344307779,0.740012374046583,0.0576719252016793,-0.682340448844904,"12",48206848,"F","I","HDAC7","Body","island","Body-island","chr12:48206721-48207126",TRUE,NA,"","","","DOWN"
"cg14538439",-0.676302946922052,0.415433213374161,-68.9736104570299,2.61654567390234e-236,2.14300221174315e-234,531.132803432126,0.703926078844407,NA,NA,"10",90750381,"F","I","FAS","1stExon","island","1stExon-island","chr10:90750293-90751108",TRUE,NA,"high-CpG:90740322-90740683","","","DOWN"
"cg04578935",-0.644123021788714,0.49536111521929,-68.8341382573046,2.68527651479455e-236,2.17794174801881e-234,531.104595136255,0.770985850124229,0.126862828335514,-0.644123021788715,"1",180881163,"R","II","KIAA1614","TSS1500","shore","TSS1500-shore","chr1:180881316-180882592",TRUE,NA,"","","","DOWN"
"cg06943420",-0.734998905119542,0.461395614151901,-68.9541310669574,2.92831101218753e-236,2.35222213421294e-234,531.020239848397,0.774926615636461,NA,NA,"1",1566699,"F","I","MMP23A","TSS1500","island","TSS1500-island","chr1:1564421-1570006",NA,TRUE,"","","","DOWN"
"cg07931631",-0.695123849240346,0.449725876809383,-68.8016463781687,3.24229337127196e-236,2.57963036415295e-234,530.916107517143,0.747174221600601,0.0520503723602543,-0.695123849240347,"11",122753950,"F","II","C11orf63","5'UTR","island","5'UTR-island","chr11:122753386-122753951",NA,NA,"","","","DOWN"
"cg20513950",-0.761771188344808,0.525062102130576,-68.9163196258117,3.64374721328333e-236,2.87168530375179e-234,530.801666760279,0.850013448207732,NA,NA,"11",72463673,"F","I","ARAP1","TSS1500","island","TSS1500-island","chr11:72463092-72463717",NA,NA,"","","","DOWN"
"cg26008007",-0.625835202583292,0.380466275841883,-68.6797875645333,6.57903663902011e-236,5.13656748433402e-234,530.208533315008,0.648265525319385,0.0224303227360927,-0.625835202583293,"2",232545866,"F","I","","IGR","island","IGR-island","chr2:232545347-232546143",NA,TRUE,"","","","DOWN"
"cg08227526",-0.75453920895023,0.497581518070546,-69.0690258330902,7.24842409937738e-236,5.60679027094432e-234,530.118391135204,NA,NA,NA,"4",155663529,"R","I","","IGR","shore","IGR-shore","chr4:155663809-155664315",NA,NA,"","","","DOWN"
"cg15026277",-0.688678780152477,0.423121447827776,-68.5551286358159,1.35832319704859e-235,1.04104880625174e-233,529.483615076179,0.717811902590697,0.0291331224382193,-0.688678780152477,"17",41363789,"R","I","TMEM106A","TSS200","island","TSS200-island","chr17:41363727-41364273",TRUE,NA,"","","","DOWN"
"cg04138361",-0.750956891894273,0.522903503465686,-68.4510851587309,2.48966832407573e-235,1.89078992539351e-233,528.8777377629,0.844243196741375,0.0932863048471016,-0.750956891894274,"6",33160304,"F","I","COL11A2","TSS200","shore","TSS200-shore","chr6:33160945-33161337",TRUE,TRUE,"high-CpG:33268177-33268468","","","DOWN"
"cg06537680",-0.551447975714141,0.341714089489663,-68.4104639653409,3.15476842933461e-235,2.37431850978931e-233,528.64097958647,0.577682525609202,0.026234549895062,-0.55144797571414,"16",67204316,"F","I","","IGR","island","IGR-island","chr16:67204208-67204637",NA,TRUE,"","","","DOWN"
"cg01793449",-0.758773056421784,0.482084573150625,-68.4017510493101,3.3191694695602e-235,2.4757447989916e-233,528.590181619182,0.806768857759017,0.0479958013372319,-0.758773056421785,"1",3663339,"R","I","KIAA0495","1stExon","island","1stExon-island","chr1:3662963-3664085",NA,NA,"","","","DOWN"
"cg00227781",-0.620005386829819,0.437701949317029,-68.3538811192287,4.38815860156655e-235,3.24413070420238e-233,528.310994533907,0.703006579960486,0.0830011931306671,-0.620005386829819,"17",72450036,"R","I","","IGR","island","IGR-island","chr17:72449982-72450617",NA,NA,"","","","DOWN"
"cg12379720",-0.60907426869057,0.439019296467779,-68.2772446140707,6.86351708911079e-235,5.02963348793259e-233,527.863695651829,0.699646425395837,0.0905721567052666,-0.609074268690571,"22",38092989,"R","II","TRIOBP","TSS200","opensea","TSS200-opensea","",NA,TRUE,"","","","DOWN"
"cg19998675",-0.647268727338063,0.450822845085355,-68.1571116449868,1.38494875523969e-234,1.00607494793673e-232,527.161681923383,0.727793649341642,0.0805249220035799,-0.647268727338063,"3",182970903,"R","II","MCF2L2","Body","shore","Body-shore","chr3:182971429-182972635",TRUE,NA,"high-CpG:184453547-184454650","","","DOWN"
"cg06630737",-0.683498261628433,0.476604310901468,-68.5282189295388,1.63883184114424e-234,1.18024148283785e-232,527.000329121941,0.766330740303684,NA,NA,"1",11752109,"F","II","MAD2L2","TSS1500","island","TSS1500-island","chr1:11750701-11752651",NA,NA,"","rs6679089","","DOWN"
"cg04885832",-0.659814464024692,0.448199882125062,-67.9913381444542,3.65497614146215e-234,2.60971544322862e-232,526.191268622641,0.730539094637953,0.0707246306132612,-0.659814464024692,"5",176560265,"R","II","NSD1","TSS1500","island","TSS1500-island","chr5:176558852-176561652",NA,NA,"","","","DOWN"
"cg04987499",-0.652640254508989,0.421744438050394,-67.9364750739017,5.04140969286834e-234,3.56914716730696e-232,525.869675030473,0.701013756258892,0.0483735017499026,-0.652640254508989,"17",61524073,"R","I","CYB561","TSS1500","island","TSS1500-island","chr17:61523000-61524470",NA,TRUE,"","","","DOWN"
"cg02928644",-0.659527900355828,0.426018076439597,-67.7997481241719,1.12468464998741e-233,7.89547526554184e-232,525.067275636622,0.7082346663593,0.0487067660034724,-0.659527900355828,"2",170646566,"R","I","","IGR","opensea","IGR-opensea","",TRUE,NA,"","","","DOWN"
"cg12163952",-0.662450739017473,0.418700700135235,-67.7372636397169,1.62360301656316e-233,1.13029830003072e-231,524.700129956296,0.702167993110154,0.0397172540926808,-0.662450739017473,"2",201983233,"R","II","CFLAR","5'UTR","island","5'UTR-island","chr2:201983198-201983709",NA,TRUE,"","","","DOWN"
"cg24430419",-0.614108444722412,0.423752128539007,-67.8360228770289,1.95996454296726e-233,1.35318543735112e-231,524.514213713457,0.685714472091924,NA,NA,"1",61519532,"R","II","","IGR","island","IGR-island","chr1:61519352-61519971",NA,TRUE,"","","","DOWN"
"cg26448489",-0.632517252200296,0.448614980179492,-67.6092786780616,3.44710331564322e-233,2.3604181228593e-231,523.947238685974,0.719273525307061,0.0867562731067645,-0.632517252200297,"2",238600469,"R","II","LRRFIP1","TSS1500","island","TSS1500-island","chr2:238599857-238601430",NA,NA,"","","","DOWN"
"cg08231710",-0.747344766726252,0.544227838030372,-67.5541456126023,4.76941658858139e-233,3.23932570577308e-231,523.622545432706,0.864021877745792,0.116677111019538,-0.747344766726254,"1",1566687,"F","I","MMP23A","TSS1500","island","TSS1500-island","chr1:1564421-1570006",NA,TRUE,"","","","DOWN"
"cg11302533",-0.709362936858153,0.439889510519014,-67.4150036019218,1.08333957689666e-232,7.29856356886672e-231,522.802123034421,0.743430860244364,0.03406792338621,-0.709362936858154,"3",197183662,"F","I","","IGR","island","IGR-island","chr3:197183404-197183724",NA,TRUE,"","","","DOWN"
"cg21940568",-0.594643887475308,0.372222008531907,-67.2818825167195,2.37801652483316e-232,1.5892760038765e-230,522.015887219858,0.626674276660876,0.0320303891855673,-0.594643887475308,"19",52207320,"R","I","NCRNA00085","Body","island","Body-island","chr19:52207132-52207731",NA,NA,"","","","DOWN"
"cg02954735",-0.726839286480475,0.458151137699643,-67.158705640002,4.92782549432246e-232,3.26722652218808e-230,521.287235333068,0.769170739356405,0.0423314528759293,-0.726839286480475,"1",205424972,"F","I","","IGR","island","IGR-island","chr1:205424829-205426556",NA,NA,"","","","DOWN"
"cg24674445",-0.6346100141002,0.429107568448673,-67.154341970654,5.05678309578771e-232,3.32632803009532e-230,521.261401799806,0.700661620993875,0.0660516068936749,-0.6346100141002,"1",156076363,"F","II","","IGR","opensea","IGR-opensea","",NA,NA,"","rs72201856","","DOWN"
"cg21211480",-0.677784632876985,0.416148813974651,-67.0651971400408,8.57427710588687e-232,5.59605554238898e-230,520.733347708214,0.70617758711271,0.0283929542357253,-0.677784632876985,"17",41363774,"R","I","TMEM106A","TSS200","island","TSS200-island","chr17:41363727-41364273",TRUE,NA,"","","","DOWN"
"cg22632840",-0.6448856018071,0.395363289851484,-67.1553040840646,1.07517456063928e-231,6.96279711595391e-230,520.509448444495,0.670454350762206,NA,NA,"11",67071646,"F","I","SSH3","Body","island","Body-island","chr11:67070807-67071801",TRUE,NA,"","","","DOWN"
"cg16483867",-0.698964899693604,0.502216290196947,-67.1830517512722,1.95408782362259e-231,1.25572689834947e-229,519.914398851189,0.799439682122732,NA,NA,"22",29426511,"R","II","ZNRF3","Body","island","Body-island","chr22:29426510-29426843",NA,NA,"","","","DOWN"
"cg12160258",-0.662290675718399,0.469193098531808,-66.9148743866293,2.09155302616491e-231,1.33380412065509e-229,519.841586958177,0.752591899304333,0.0903012235859334,-0.662290675718399,"10",63213396,"F","II","TMEM26","TSS200","shore","TSS200-shore","chr10:63212495-63213009",NA,NA,"","","","DOWN"
"cg19455322",-0.717526101450014,0.466733140357469,-66.9066665848785,2.19601332792111e-231,1.38981025314037e-229,519.792848103555,0.773767565163986,0.0562414637139726,-0.717526101450014,"3",46735335,"F","I","ALS2CL","TSS200","island","TSS200-island","chr3:46734731-46735717",TRUE,NA,"","","","DOWN"
"cg03888579",-0.621084797915625,0.404341083295327,-66.8982157795364,2.30903198376498e-231,1.45034986408817e-229,519.742661104291,0.670107601473176,0.0490228035575503,-0.621084797915625,"1",35331832,"F","I","DLGAP3","Body","island","Body-island","chr1:35331703-35332409",NA,TRUE,"","","","DOWN"
"cg16075951",-0.657102900775119,0.439966316951572,-66.5663976072671,1.6634050752298e-230,1.03702134316938e-228,517.767934430346,0.721145232632088,0.0640423318569688,-0.657102900775119,"14",24899050,"R","I","CBLN3","TSS1500","island","TSS1500-island","chr14:24898779-24899288",NA,NA,"","","","DOWN"
"cg04890459",-0.624452796315141,0.399542455318662,-66.7501013034608,2.52345502024582e-230,1.56155135104693e-228,517.355894882551,NA,NA,NA,"16",67204681,"F","I","","IGR","shore","IGR-shore","chr16:67204208-67204637",NA,TRUE,"","","rs61461072","DOWN"
"cg12899157",-0.664338136940025,0.456371585454447,-66.4629811380238,3.08312300120705e-230,1.89385364353557e-228,517.150819415879,0.740646509168318,0.0763083722282933,-0.664338136940025,"18",3452302,"F","I","TGIF1","5'UTR","island","5'UTR-island","chr18:3448006-3452360",NA,NA,"","","","DOWN"
"cg19174643",-0.678413358851811,0.519527856396283,-66.6754795584693,3.92727722186708e-230,2.3947791176261e-228,516.913694851874,0.808012041702427,NA,NA,"18",13136426,"R","II","","IGR","shore","IGR-shore","chr18:13136596-13137564",TRUE,NA,"","","","DOWN"
"cg12497564",-0.626528781354179,0.409113407544804,-66.3476527859688,6.14123962287574e-230,3.7176750586597e-228,516.46168899003,0.67720944421729,0.0506806628631108,-0.626528781354179,"3",139258295,"F","I","RBP1","Body","island","Body-island","chr3:139258152-139258731",NA,NA,"","","","DOWN"
"cg04804539",-0.607079359928088,0.438480182235438,-66.3384850813393,6.48729427858276e-230,3.8989105326101e-228,516.406866176301,0.698253675786062,0.0911743158579729,-0.607079359928089,"2",95691255,"R","II","MAL","TSS1500","island","TSS1500-island","chr2:95690857-95692431",NA,TRUE,"","","","DOWN"
"cg25247183",-0.665536533858543,0.453189096100798,-66.2679425857824,9.89339358145594e-230,5.90352928424878e-228,515.984813735886,0.737976822217012,0.0724402883584685,-0.665536533858543,"22",38073049,"R","I","LGALS1","Body","island","Body-island","chr22:38073037-38073412",TRUE,NA,"","","","DOWN"
"cg03209642",-0.60251997360239,0.392348009879885,-66.4331209221569,1.65656460132839e-229,9.81485154574284e-228,515.474237727974,0.648559774355667,NA,NA,"15",91427605,"R","I","FES","TSS200","island","TSS200-island","chr15:91427540-91427905",TRUE,NA,"","","rs12592067","DOWN"
"cg24008544",-0.658780320880889,0.425636047953391,-66.1153540212544,2.46799753609554e-229,1.44930159008897e-227,515.070617260798,0.707532743400097,0.0487524225192076,-0.658780320880889,"17",41363899,"R","I","TMEM106A","5'UTR","island","5'UTR-island","chr17:41363727-41364273",TRUE,NA,"","","","DOWN"
"cg00339300",-0.66473079958836,0.416066257013061,-66.1144878890317,2.48084902301559e-229,1.44930159008897e-227,515.065423093736,0.700509203813662,0.0357784042253016,-0.664730799588361,"1",61508924,"R","I","","IGR","island","IGR-island","chr1:61508642-61509282",NA,TRUE,"","","","DOWN"
"cg17976576",-0.630421056802143,0.387764794118388,-66.0983657246107,2.73269201982997e-229,1.58534091205969e-227,514.968728777843,0.657526362610468,0.0271053058083249,-0.630421056802143,"2",128432610,"R","I","LIMS2","1stExon","island","1stExon-island","chr2:128432194-128432743",NA,NA,"","","","DOWN"
"cg25216403",-0.652408147866641,0.452531148951849,-66.1708734760338,3.7373745160879e-229,2.15324322119988e-227,514.658083204709,0.730831128111744,NA,NA,"18",35147465,"R","II","BRUNOL4","TSS1500","island","TSS1500-island","chr18:35144907-35147628",NA,NA,"","","","DOWN"
"cg17926950",-0.681797686791441,0.518556332787173,-67.1818115260647,4.17195030437282e-229,2.38715567415962e-227,514.566697709079,NA,NA,NA,"19",13983613,"R","II","","IGR","island","IGR-island","chr19:13983596-13984152",TRUE,NA,"","","","DOWN"
"cg05163329",-0.704379715766406,0.599639680064943,-68.2471043938464,4.80169788141029e-229,2.72880163954432e-227,514.445622164458,NA,NA,NA,"12",16762789,"R","II","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg23613857",-0.619136047394363,0.466551437065887,-66.0598727422875,7.26162932873937e-229,4.09889536569518e-227,513.993811350544,0.730658422318029,NA,NA,"14",23356614,"F","II","REM2","3'UTR","shore","3'UTR-shore","chr14:23355738-23356402",NA,TRUE,"","","","DOWN"
"cg01165402",-0.723837674807865,0.520754152677575,-65.9234491614675,7.81092838732888e-229,4.37936213072117e-227,513.918400990884,0.83048934375815,0.106651668950285,-0.723837674807865,"5",115912383,"F","II","","IGR","island","IGR-island","chr5:115912001-115912384",NA,NA,"","","","DOWN"
"cg25038060",-0.713852977038214,0.450966880861143,-65.8561501091413,1.17072618470174e-228,6.52016436466557e-227,513.513678045825,0.756429550105402,0.0425765730671884,-0.713852977038214,"17",74497306,"F","I","RHBDF2","5'UTR","island","5'UTR-island","chr17:74496992-74497632",NA,NA,"","","","DOWN"
"cg25042239",-0.642595067991743,0.388293944915546,-65.7977729728784,1.66351710312192e-228,9.20332574800034e-227,513.162334617173,0.663264857730617,0.0206697897388742,-0.642595067991743,"6",43021668,"R","I","CUL7","5'UTR","island","5'UTR-island","chr6:43021125-43021694",NA,NA,"high-CpG:43129368-43129669","","","DOWN"
"cg22304169",-0.619974901077552,0.39204221245024,-65.6026099906639,5.39387908658239e-228,2.96450433482298e-226,511.98588450406,0.657333798027611,0.0373588969500593,-0.619974901077552,"2",201983303,"R","II","CFLAR","5'UTR","island","5'UTR-island","chr2:201983198-201983709",NA,TRUE,"","","","DOWN"
"cg03563100",-0.660660206274252,0.492408609796341,-73.1579865883945,6.58529456264102e-228,3.59565691348386e-226,511.89705370304,NA,NA,NA,"2",152954239,"F","II","CACNB4","Body","shore","Body-shore","chr2:152954633-152955784",TRUE,NA,"","","","DOWN"
"cg14630933",-0.681078656466158,0.516166683002915,-65.7752695957071,8.42351390419557e-228,4.56948280231492e-226,511.545088088857,0.805784242528244,NA,NA,"6",32076093,"R","II","TNXB","5'UTR","opensea","5'UTR-opensea","",TRUE,TRUE,"","","","DOWN"
"cg08302913",-0.735908225549659,0.531864160371041,-65.7011478452165,1.31407393916762e-227,7.08243463729441e-226,511.100357992385,0.844797097403841,NA,NA,"2",182548786,"R","II","","IGR","island","IGR-island","chr2:182547873-182549177",NA,TRUE,"","","","DOWN"
"cg08835847",-0.609530250035036,0.410878416774464,-65.4460493506639,1.3887514351419e-227,7.43694198024068e-226,511.040055308492,0.671700663301084,0.0621704132660471,-0.609530250035037,"17",72450692,"R","I","","IGR","shore","IGR-shore","chr17:72449982-72450617",NA,NA,"","","","DOWN"
"cg16802592",-0.711803858519719,0.530584067243835,-65.5597669407648,1.46435103169959e-227,7.79183982090342e-226,510.989558835719,0.834220678220778,NA,NA,"15",37179603,"R","II","LOC145845","TSS1500","island","TSS1500-island","chr15:37179516-37179782",NA,NA,"","","","DOWN"
"cg00916884",-0.67575786255456,0.413802988514829,-65.3696503698973,2.20466062821637e-227,1.1656794232987e-225,510.577833560958,0.702964492491664,0.0272066299371035,-0.67575786255456,"16",56666334,"F","I","MT1M","TSS200","island","TSS200-island","chr16:56665945-56666641",TRUE,NA,"","","","DOWN"
